symbol,company_name,isin,exchange,market_cap_cr,category
GODREJIND,Godrej Industries Ltd.,INE233A01035,NSE,37681.7,Mid Cap
POONAWALLA,POONAWALLA FINCORP LIMITED,INE511C01022,NSE,36666.51,Mid Cap
CRISIL,CRISIL Ltd.,INE007A01025,NSE,36290.7,Mid Cap
KPRMILL,K.P.R. Mill Ltd.,INE930H01031,NSE,36171.07,Mid Cap
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,INE149A01033,NSE,35802.69,Mid Cap
3MINDIA,3M India Ltd.,INE470A01017,NSE,35775.29,Mid Cap
IPCALAB,Ipca Laboratories Ltd.,INE571A01038,NSE,35220.06,Mid Cap
PIRAMALFIN,Piramal Finance Limited,INE202B01038,NSE,35099.27,Mid Cap
APARINDS,Apar Industries Ltd,INE372A01015,NSE,34905.93,Mid Cap
SJVN,SJVN LIMITED,INE002L01015,NSE,34832.64,Mid Cap
MEDANTA,Global Health Limited,INE474Q01031,NSE,34758.38,Mid Cap
ACC,ACC Ltd,INE012A01025,NSE,34699.19,Small Cap
TATAELXSI,Tata Elxsi Ltd,INE670A01012,NSE,34603.64,Small Cap
NLCINDIA,NLC India Limited,INE589A01014,NSE,34425.86,Small Cap
AWL,AWL AGRI BUSINESS LIMITED,INE699H01024,NSE,33880.87,Small Cap
CENTRALBK,Central Bank of India,INE483A01010,NSE,33880.69,Small Cap
KPITTECH,KPIT Technologies Ltd,INE04I401011,NSE,33298.38,Small Cap
CDSL,Central Depository Services (India) Ltd.,INE736A01011,NSE,32985.81,Small Cap
DELHIVERY,Delhivery Limited,INE148O01028,NSE,32980.15,Small Cap
ASTERDM,Aster DM Healthcare Limited,INE914M01019,NSE,32947.58,Small Cap
EXIDEIND,Exide Industries Ltd.,INE302A01020,NSE,32936.45,Small Cap
GODIGIT,Go Digit General Insurance Limited,INE03JT01014,NSE,32606.66,Small Cap
HONAUT,Honeywell Automation India Ltd.,INE671A01010,NSE,32471.32,Small Cap
AJANTPHARM,Ajanta Pharma Ltd.,INE031B01049,NSE,32250.62,Small Cap
METROBRAND,Metro Brands Limited,INE317I01021,NSE,32064.27,Small Cap
AIAENG,AIA Engineering Ltd.,INE212H01026,NSE,31495.23,Small Cap
COHANCE,Cohance Lifesciences Limited,INE03QK01018,NSE,31441.39,Small Cap
